iso_code,location,total_cases,year
MTQ,Martinique,47828.0,2021
MTQ,Martinique,227390.0,2022
MTQ,Martinique,230354.0,2023
MTQ,Martinique,230354.0,2024
MRT,Mauritania,13516.0,2020
MRT,Mauritania,40453.0,2021
MRT,Mauritania,63428.0,2022
MRT,Mauritania,63773.0,2023
MRT,Mauritania,63809.0,2024
MUS,Mauritius,527.0,2020
MUS,Mauritius,90090.0,2021
MUS,Mauritius,291206.0,2022
MUS,Mauritius,321419.0,2023
MUS,Mauritius,324332.0,2024
MYT,Mayotte,5767.0,2020
MYT,Mayotte,21288.0,2021
MYT,Mayotte,41969.0,2022
MYT,Mayotte,42027.0,2023
MYT,Mayotte,42027.0,2024
MEX,Mexico,1453414.0,2020
MEX,Mexico,4001979.0,2021
MEX,Mexico,7245590.0,2022
MEX,Mexico,7702809.0,2023
MEX,Mexico,7702809.0,2024
FSM,Micronesia (country),,2020
FSM,Micronesia (country),,2021
FSM,Micronesia (country),22069.0,2022
FSM,Micronesia (country),26547.0,2023
FSM,Micronesia (country),26547.0,2024
MDA,Moldova,140996.0,2020
MDA,Moldova,374349.0,2021
MDA,Moldova,596100.0,2022
MDA,Moldova,631061.0,2023
MDA,Moldova,633670.0,2024
MCO,Monaco,645.0,2020
MCO,Monaco,4605.0,2021
MCO,Monaco,16439.0,2022
MCO,Monaco,17181.0,2023
MCO,Monaco,17181.0,2024
MNG,Mongolia,1121.0,2020
MNG,Mongolia,690950.0,2021
MNG,Mongolia,1007314.0,2022
MNG,Mongolia,1011420.0,2023
MNG,Mongolia,1011456.0,2024
MNE,Montenegro,35210.0,2020
MNE,Montenegro,158010.0,2021
MNE,Montenegro,243973.0,2022
MNE,Montenegro,251280.0,2023
MNE,Montenegro,251280.0,2024
MSR,Montserrat,13.0,2020
MSR,Montserrat,45.0,2021
MSR,Montserrat,1403.0,2022
MSR,Montserrat,1403.0,2023
MSR,Montserrat,1403.0,2024
MAR,Morocco,430562.0,2020
MAR,Morocco,955587.0,2021
MAR,Morocco,1271244.0,2022
MAR,Morocco,1278269.0,2023
MAR,Morocco,1278844.0,2024
MOZ,Mozambique,18162.0,2020
MOZ,Mozambique,164862.0,2021
MOZ,Mozambique,230970.0,2022
MOZ,Mozambique,233731.0,2023
MOZ,Mozambique,233731.0,2024
MMR,Myanmar,121886.0,2020
MMR,Myanmar,529613.0,2021
MMR,Myanmar,633612.0,2022
MMR,Myanmar,641448.0,2023
MMR,Myanmar,641730.0,2024
NAM,Namibia,21923.0,2020
NAM,Namibia,146097.0,2021
NAM,Namibia,170278.0,2022
NAM,Namibia,172239.0,2023
NAM,Namibia,172264.0,2024
NRU,Nauru,,2020
NRU,Nauru,,2021
NRU,Nauru,4621.0,2022
NRU,Nauru,5393.0,2023
NRU,Nauru,5393.0,2024
NPL,Nepal,258181.0,2020
NPL,Nepal,827271.0,2021
NPL,Nepal,1000966.0,2022
NPL,Nepal,1003450.0,2023
NPL,Nepal,1003450.0,2024
NLD,Netherlands,773198.0,2020
NLD,Netherlands,3085502.0,2021
NLD,Netherlands,8566067.0,2022
